File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1actpx8,openai/gpt-5,D,D,D,C,correct,Sarcasm/Irony,Hobby
1af8odu,openai/gpt-5,A,A,A,C,correct,Wordplay,Pop culture
1ajzxfm,openai/gpt-5,B,B,B,D,correct,Comparison,Logical
1amtoff,openai/gpt-5,A,A,A,C,correct,Incongruity,General knowledge
1aoxsw3,openai/gpt-5,A,A,A,D,correct,Comparison,Technical
1asrnb3,openai/gpt-5,B,B,B,C,correct,Exaggeration,Pop culture
1aya611,openai/gpt-5,C,C,C,D,correct,Sarcasm/Irony,Social conventions
1b03bqv,openai/gpt-5,D,D,D,C,correct,Incongruity,politics
1b7unh0,openai/gpt-5,D,D,B,D,literal,Comparison,History/Mythology
1be8p2s,openai/gpt-5,C,C,C,B,correct,Incongruity,Pop culture
1bikyy1,openai/gpt-5,A,A,A,B,correct,Sarcasm/Irony,History/Mythology
1bl3eve,openai/gpt-5,C,C,C,A,correct,Incongruity,Hobby
1bmtc5u,openai/gpt-5,C,C,C,D,correct,Incongruity,Social conventions
1bsdc0l,openai/gpt-5,C,C,A,D,other_distractor,Comparison,History/Mythology
1bw9tb7,openai/gpt-5,D,D,C,B,other_distractor,Comparison,General knowledge
1c1tpnf,openai/gpt-5,B,B,B,D,correct,Incongruity,meme
1c6zoan,openai/gpt-5,C,C,D,B,other_distractor,Sarcasm/Irony,Pop culture
1c22s8b,openai/gpt-5,B,B,B,A,correct,Incongruity,Pop culture
1c175gf,openai/gpt-5,D,D,B,D,literal,Sarcasm/Irony,politics
1ccfha2,openai/gpt-5,C,C,A,B,other_distractor,Sarcasm/Irony,politics
1cehmmt,openai/gpt-5,A,A,B,A,literal,Situational,Pop culture
1cgcw31,openai/gpt-5,B,B,B,D,correct,Exaggeration,Pop culture
1jfy6ms,openai/gpt-5,A,A,A,C,correct,Wordplay,Pop culture
1eae89f,openai/gpt-5,D,D,D,B,correct,Exaggeration,Hobby
1iw42ka,openai/gpt-5,C,C,C,D,correct,Exaggeration,Pop culture
1k4fjdr,openai/gpt-5,D,D,A,D,literal,Wordplay,Logical
1l4mpmj,openai/gpt-5,A,A,A,D,correct,Situational,Social conventions
1k0el7w,openai/gpt-5,C,C,C,B,correct,Situational,Hobby
15h4szq,openai/gpt-5,C,C,D,C,literal,Comparison,History/Mythology
1k70gfk,openai/gpt-5,D,D,D,A,correct,Exaggeration,politics
1jaa0tw,openai/gpt-5,A,A,B,A,literal,Comparison,History/Mythology
1m0a4hv,openai/gpt-5,D,D,C,A,other_distractor,Sarcasm/Irony,History/Mythology
1hvaqk7,openai/gpt-5,D,D,D,C,correct,Incongruity,meme
1kw3buz,openai/gpt-5,B,B,B,C,correct,Wordplay,Logical
1blxcsy,openai/gpt-5,D,D,C,D,literal,Situational,Pop culture
1cskltc,openai/gpt-5,A,A,A,D,correct,Wordplay,Pop culture
1kqwlgj,openai/gpt-5,A,A,A,C,correct,Exaggeration,Technical
15yqaf6,openai/gpt-5,A,A,A,C,correct,Incongruity,Technical
1fycaf4,openai/gpt-5,B,B,B,D,correct,Situational,Logical
1cpvjc7,openai/gpt-5,A,A,C,A,literal,Sarcasm/Irony,Technical
1bur7j0,openai/gpt-5,B,B,B,C,correct,Situational,Pop culture
1co83ht,openai/gpt-5,C,C,C,D,correct,Incongruity,Social conventions
1cwrltm,openai/gpt-5,C,C,C,D,correct,Dark Humor,Pop culture
1cym2ue,openai/gpt-5,D,D,A,C,other_distractor,Exaggeration,Pop culture
1d2jxbw,openai/gpt-5,C,C,C,B,correct,Incongruity,General knowledge
1d6ho4f,openai/gpt-5,D,D,B,C,other_distractor,Incongruity,General knowledge
1d8sg9b,openai/gpt-5,D,D,D,C,correct,Exaggeration,Logical
1d98tf9,openai/gpt-5,A,A,D,C,other_distractor,Dark Humor,politics
1dbipgs,openai/gpt-5,A,A,D,C,other_distractor,Exaggeration,Logical
1dfrh37,openai/gpt-5,D,D,D,B,correct,Incongruity,Hobby
1di1z94,openai/gpt-5,A,A,A,C,correct,Exaggeration,Social conventions
1dk6kds,openai/gpt-5,C,C,B,D,other_distractor,Dark Humor,Pop culture
1dlzvsx,openai/gpt-5,D,D,D,A,correct,Comparison,Logical
1do7yvv,openai/gpt-5,C,C,C,D,correct,Incongruity,Logical
1dr9jg6,openai/gpt-5,D,D,A,B,other_distractor,Situational,Pop culture
1dtmedg,openai/gpt-5,B,B,A,C,other_distractor,Situational,Social conventions
1dwa7tj,openai/gpt-5,D,D,D,C,correct,Dark Humor,History/Mythology
1e0k66e,openai/gpt-5,B,B,B,C,correct,Wordplay,Technical
1e2qvt9,openai/gpt-5,C,C,C,B,correct,Exaggeration,Social conventions
1e6m88u,openai/gpt-5,B,B,B,A,correct,Comparison,Pop culture
1ea5yhw,openai/gpt-5,A,A,A,D,correct,Exaggeration,politics
1eeayas,openai/gpt-5,B,B,B,A,correct,Sarcasm/Irony,History/Mythology
1efs65o,openai/gpt-5,B,B,B,D,correct,Comparison,Hobby
1eko6xo,openai/gpt-5,C,C,C,B,correct,Comparison,Pop culture
1elhse8,openai/gpt-5,A,A,B,D,other_distractor,Exaggeration,Logical
1eq297i,openai/gpt-5,B,B,B,C,correct,Exaggeration,politics
1et8l0q,openai/gpt-5,C,C,C,B,correct,Incongruity,Logical
1ex1lej,openai/gpt-5,D,D,D,C,correct,Exaggeration,General knowledge
1f0qs2a,openai/gpt-5,B,B,B,D,correct,Incongruity,General knowledge
1f4tmhz,openai/gpt-5,D,D,D,C,correct,Sarcasm/Irony,Logical
1f16w9p,openai/gpt-5,C,C,C,D,correct,Situational,General knowledge
1fa202w,openai/gpt-5,C,C,C,D,correct,Exaggeration,Hobby
1fbym0h,openai/gpt-5,B,B,D,B,literal,Comparison,Social conventions
1fdg0i5,openai/gpt-5,D,D,D,A,correct,Dark Humor,politics
1fg38dp,openai/gpt-5,B,B,B,A,correct,Exaggeration,Logical
1fm0tjo,openai/gpt-5,C,C,C,D,correct,Exaggeration,Logical
1fs6ndo,openai/gpt-5,B,B,B,D,correct,Comparison,Hobby
1fo91u1,openai/gpt-5,D,D,D,B,correct,Situational,Logical
1fst6nb,openai/gpt-5,B,B,B,C,correct,Comparison,politics
1fu3pp1,openai/gpt-5,C,C,C,B,correct,Incongruity,Technical
1fuxrbx,openai/gpt-5,A,A,A,C,correct,Wordplay,Hobby
1fwbzz9,openai/gpt-5,A,A,A,C,correct,Situational,politics
1fxqzyt,openai/gpt-5,B,B,B,D,correct,Wordplay,Social conventions
1g02nzf,openai/gpt-5,D,D,D,B,correct,Situational,History/Mythology
1g7yhzc,openai/gpt-5,A,A,A,C,correct,Exaggeration,Social conventions
1g4657e,openai/gpt-5,A,A,B,C,other_distractor,Incongruity,History/Mythology
1gazv8u,openai/gpt-5,A,A,B,D,other_distractor,Dark Humor,politics
1gidb47,openai/gpt-5,A,A,B,D,other_distractor,Situational,Technical
1gop1dk,openai/gpt-5,A,A,D,B,other_distractor,Exaggeration,Social conventions
1gqh1c5,openai/gpt-5,D,D,D,C,correct,Situational,Social conventions
1gs87cm,openai/gpt-5,C,C,C,D,correct,Situational,Pop culture
1guacve,openai/gpt-5,C,C,A,B,other_distractor,Exaggeration,Social conventions
1gx0pu0,openai/gpt-5,D,D,D,A,correct,Comparison,Hobby
