File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1ajzxfm,google/gemma-4-26b-a4b-it,B,B,B,D,correct,Comparison,Logical
1aya611,google/gemma-4-26b-a4b-it,C,C,C,D,correct,Sarcasm/Irony,Social conventions
1asrnb3,google/gemma-4-26b-a4b-it,B,B,B,C,correct,Exaggeration,Pop culture
1af8odu,google/gemma-4-26b-a4b-it,A,A,A,C,correct,Wordplay,Pop culture
1be8p2s,google/gemma-4-26b-a4b-it,C,C,C,B,correct,Incongruity,Pop culture
1b03bqv,google/gemma-4-26b-a4b-it,B,B,D,C,other_distractor,Incongruity,politics
1bikyy1,google/gemma-4-26b-a4b-it,A,A,A,B,correct,Sarcasm/Irony,History/Mythology
1bl3eve,google/gemma-4-26b-a4b-it,C,C,C,A,correct,Incongruity,Hobby
1bmtc5u,google/gemma-4-26b-a4b-it,C,C,C,D,correct,Incongruity,Social conventions
1bw9tb7,google/gemma-4-26b-a4b-it,D,D,C,B,other_distractor,Comparison,General knowledge
1actpx8,google/gemma-4-26b-a4b-it,A,A,D,C,other_distractor,Sarcasm/Irony,Hobby
1c6zoan,google/gemma-4-26b-a4b-it,D,D,D,B,correct,Sarcasm/Irony,Pop culture
1b7unh0,google/gemma-4-26b-a4b-it,A,A,B,D,other_distractor,Comparison,History/Mythology
1c22s8b,google/gemma-4-26b-a4b-it,B,B,B,A,correct,Incongruity,Pop culture
1ccfha2,google/gemma-4-26b-a4b-it,C,C,A,B,other_distractor,Sarcasm/Irony,politics
1cehmmt,google/gemma-4-26b-a4b-it,B,B,B,A,correct,Situational,Pop culture
1c175gf,google/gemma-4-26b-a4b-it,B,B,B,D,correct,Sarcasm/Irony,politics
1c1tpnf,google/gemma-4-26b-a4b-it,B,B,B,D,correct,Incongruity,meme
1eae89f,google/gemma-4-26b-a4b-it,D,D,D,B,correct,Exaggeration,Hobby
1cgcw31,google/gemma-4-26b-a4b-it,B,B,B,D,correct,Exaggeration,Pop culture
1amtoff,google/gemma-4-26b-a4b-it,D,D,A,C,other_distractor,Incongruity,General knowledge
1l4mpmj,google/gemma-4-26b-a4b-it,D,D,A,D,literal,Situational,Social conventions
1k0el7w,google/gemma-4-26b-a4b-it,C,C,C,B,correct,Situational,Hobby
1iw42ka,google/gemma-4-26b-a4b-it,C,C,C,D,correct,Exaggeration,Pop culture
1k70gfk,google/gemma-4-26b-a4b-it,D,D,D,A,correct,Exaggeration,politics
1jfy6ms,google/gemma-4-26b-a4b-it,A,A,A,C,correct,Wordplay,Pop culture
15h4szq,google/gemma-4-26b-a4b-it,C,C,D,C,literal,Comparison,History/Mythology
1hvaqk7,google/gemma-4-26b-a4b-it,D,D,D,C,correct,Incongruity,meme
1m0a4hv,google/gemma-4-26b-a4b-it,C,C,C,A,correct,Sarcasm/Irony,History/Mythology
1jaa0tw,google/gemma-4-26b-a4b-it,A,A,B,A,literal,Comparison,History/Mythology
1blxcsy,google/gemma-4-26b-a4b-it,C,C,C,D,correct,Situational,Pop culture
1kqwlgj,google/gemma-4-26b-a4b-it,A,A,A,C,correct,Exaggeration,Technical
1cskltc,google/gemma-4-26b-a4b-it,A,A,A,D,correct,Wordplay,Pop culture
