File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1actpx8,google/gemini-3.5-flash,D,D,D,C,correct,Sarcasm/Irony,Hobby
1af8odu,google/gemini-3.5-flash,A,A,A,C,correct,Wordplay,Pop culture
1ajzxfm,google/gemini-3.5-flash,B,B,B,D,correct,Comparison,Logical
1amtoff,google/gemini-3.5-flash,A,A,A,C,correct,Incongruity,General knowledge
1aoxsw3,google/gemini-3.5-flash,A,A,A,D,correct,Comparison,Technical
1asrnb3,google/gemini-3.5-flash,B,B,B,C,correct,Exaggeration,Pop culture
1aya611,google/gemini-3.5-flash,C,C,C,D,correct,Sarcasm/Irony,Social conventions
1b03bqv,google/gemini-3.5-flash,D,D,D,C,correct,Incongruity,politics
1b7unh0,google/gemini-3.5-flash,A,A,B,D,other_distractor,Comparison,History/Mythology
1be8p2s,google/gemini-3.5-flash,C,C,C,B,correct,Incongruity,Pop culture
1bikyy1,google/gemini-3.5-flash,A,A,A,B,correct,Sarcasm/Irony,History/Mythology
1bl3eve,google/gemini-3.5-flash,C,C,C,A,correct,Incongruity,Hobby
1bmtc5u,google/gemini-3.5-flash,C,C,C,D,correct,Incongruity,Social conventions
1bsdc0l,google/gemini-3.5-flash,A,A,A,D,correct,Comparison,History/Mythology
1bw9tb7,google/gemini-3.5-flash,D,D,C,B,other_distractor,Comparison,General knowledge
1c1tpnf,google/gemini-3.5-flash,B,B,B,D,correct,Incongruity,meme
1c6zoan,google/gemini-3.5-flash,D,D,D,B,correct,Sarcasm/Irony,Pop culture
1c22s8b,google/gemini-3.5-flash,C,C,B,A,other_distractor,Incongruity,Pop culture
1c175gf,google/gemini-3.5-flash,B,B,B,D,correct,Sarcasm/Irony,politics
1ccfha2,google/gemini-3.5-flash,C,C,A,B,other_distractor,Sarcasm/Irony,politics
1cehmmt,google/gemini-3.5-flash,B,B,B,A,correct,Situational,Pop culture
1cgcw31,google/gemini-3.5-flash,B,B,B,D,correct,Exaggeration,Pop culture
1jfy6ms,google/gemini-3.5-flash,A,A,A,C,correct,Wordplay,Pop culture
1eae89f,google/gemini-3.5-flash,D,D,D,B,correct,Exaggeration,Hobby
1iw42ka,google/gemini-3.5-flash,C,C,C,D,correct,Exaggeration,Pop culture
1k4fjdr,google/gemini-3.5-flash,A,A,A,D,correct,Wordplay,Logical
1l4mpmj,google/gemini-3.5-flash,C,C,A,D,other_distractor,Situational,Social conventions
1k0el7w,google/gemini-3.5-flash,C,C,C,B,correct,Situational,Hobby
15h4szq,google/gemini-3.5-flash,D,D,D,C,correct,Comparison,History/Mythology
1k70gfk,google/gemini-3.5-flash,D,D,D,A,correct,Exaggeration,politics
1jaa0tw,google/gemini-3.5-flash,A,A,B,A,literal,Comparison,History/Mythology
1m0a4hv,google/gemini-3.5-flash,C,C,C,A,correct,Sarcasm/Irony,History/Mythology
1hvaqk7,google/gemini-3.5-flash,D,D,D,C,correct,Incongruity,meme
1kw3buz,google/gemini-3.5-flash,B,B,B,C,correct,Wordplay,Logical
1blxcsy,google/gemini-3.5-flash,D,D,C,D,literal,Situational,Pop culture
1cskltc,google/gemini-3.5-flash,A,A,A,D,correct,Wordplay,Pop culture
1kqwlgj,google/gemini-3.5-flash,A,A,A,C,correct,Exaggeration,Technical
15yqaf6,google/gemini-3.5-flash,A,A,A,C,correct,Incongruity,Technical
1fycaf4,google/gemini-3.5-flash,B,B,B,D,correct,Situational,Logical
1cpvjc7,google/gemini-3.5-flash,A,A,C,A,literal,Sarcasm/Irony,Technical
1bur7j0,google/gemini-3.5-flash,B,B,B,C,correct,Situational,Pop culture
1co83ht,google/gemini-3.5-flash,C,C,C,D,correct,Incongruity,Social conventions
1cwrltm,google/gemini-3.5-flash,C,C,C,D,correct,Dark Humor,Pop culture
1cym2ue,google/gemini-3.5-flash,B,B,A,C,other_distractor,Exaggeration,Pop culture
1d2jxbw,google/gemini-3.5-flash,C,C,C,B,correct,Incongruity,General knowledge
1d6ho4f,google/gemini-3.5-flash,B,B,B,C,correct,Incongruity,General knowledge
1d8sg9b,google/gemini-3.5-flash,D,D,D,C,correct,Exaggeration,Logical
1d98tf9,google/gemini-3.5-flash,D,D,D,C,correct,Dark Humor,politics
1dbipgs,google/gemini-3.5-flash,A,A,D,C,other_distractor,Exaggeration,Logical
1dfrh37,google/gemini-3.5-flash,D,D,D,B,correct,Incongruity,Hobby
1di1z94,google/gemini-3.5-flash,A,A,A,C,correct,Exaggeration,Social conventions
1dk6kds,google/gemini-3.5-flash,B,B,B,D,correct,Dark Humor,Pop culture
1dlzvsx,google/gemini-3.5-flash,D,D,D,A,correct,Comparison,Logical
1do7yvv,google/gemini-3.5-flash,C,C,C,D,correct,Incongruity,Logical
1dr9jg6,google/gemini-3.5-flash,A,A,A,B,correct,Situational,Pop culture
1dtmedg,google/gemini-3.5-flash,B,B,A,C,other_distractor,Situational,Social conventions
1dwa7tj,google/gemini-3.5-flash,D,D,D,C,correct,Dark Humor,History/Mythology
1e0k66e,google/gemini-3.5-flash,B,B,B,C,correct,Wordplay,Technical
1e2qvt9,google/gemini-3.5-flash,C,C,C,B,correct,Exaggeration,Social conventions
1e6m88u,google/gemini-3.5-flash,B,B,B,A,correct,Comparison,Pop culture
1ea5yhw,google/gemini-3.5-flash,A,A,A,D,correct,Exaggeration,politics
1eeayas,google/gemini-3.5-flash,B,B,B,A,correct,Sarcasm/Irony,History/Mythology
1efs65o,google/gemini-3.5-flash,B,B,B,D,correct,Comparison,Hobby
1eko6xo,google/gemini-3.5-flash,C,C,C,B,correct,Comparison,Pop culture
1elhse8,google/gemini-3.5-flash,B,B,B,D,correct,Exaggeration,Logical
1eq297i,google/gemini-3.5-flash,B,B,B,C,correct,Exaggeration,politics
1et8l0q,google/gemini-3.5-flash,C,C,C,B,correct,Incongruity,Logical
1ex1lej,google/gemini-3.5-flash,D,D,D,C,correct,Exaggeration,General knowledge
1f0qs2a,google/gemini-3.5-flash,B,B,B,D,correct,Incongruity,General knowledge
1f4tmhz,google/gemini-3.5-flash,D,D,D,C,correct,Sarcasm/Irony,Logical
1f16w9p,google/gemini-3.5-flash,C,C,C,D,correct,Situational,General knowledge
1fa202w,google/gemini-3.5-flash,C,C,C,D,correct,Exaggeration,Hobby
1fbym0h,google/gemini-3.5-flash,D,D,D,B,correct,Comparison,Social conventions
1fdg0i5,google/gemini-3.5-flash,D,D,D,A,correct,Dark Humor,politics
1fg38dp,google/gemini-3.5-flash,B,B,B,A,correct,Exaggeration,Logical
1fm0tjo,google/gemini-3.5-flash,C,C,C,D,correct,Exaggeration,Logical
1fs6ndo,google/gemini-3.5-flash,B,B,B,D,correct,Comparison,Hobby
1fo91u1,google/gemini-3.5-flash,D,D,D,B,correct,Situational,Logical
1fst6nb,google/gemini-3.5-flash,B,B,B,C,correct,Comparison,politics
1fu3pp1,google/gemini-3.5-flash,C,C,C,B,correct,Incongruity,Technical
1fuxrbx,google/gemini-3.5-flash,A,A,A,C,correct,Wordplay,Hobby
1fwbzz9,google/gemini-3.5-flash,A,A,A,C,correct,Situational,politics
1fxqzyt,google/gemini-3.5-flash,B,B,B,D,correct,Wordplay,Social conventions
1g02nzf,google/gemini-3.5-flash,D,D,D,B,correct,Situational,History/Mythology
1g7yhzc,google/gemini-3.5-flash,A,A,A,C,correct,Exaggeration,Social conventions
1g4657e,google/gemini-3.5-flash,A,A,B,C,other_distractor,Incongruity,History/Mythology
1gazv8u,google/gemini-3.5-flash,B,B,B,D,correct,Dark Humor,politics
1gidb47,google/gemini-3.5-flash,A,A,B,D,other_distractor,Situational,Technical
1gop1dk,google/gemini-3.5-flash,A,A,D,B,other_distractor,Exaggeration,Social conventions
1gqh1c5,google/gemini-3.5-flash,D,D,D,C,correct,Situational,Social conventions
1gs87cm,google/gemini-3.5-flash,C,C,C,D,correct,Situational,Pop culture
1guacve,google/gemini-3.5-flash,A,A,A,B,correct,Exaggeration,Social conventions
1gx0pu0,google/gemini-3.5-flash,D,D,D,A,correct,Comparison,Hobby
1gz2i0o,google/gemini-3.5-flash,C,C,C,D,correct,Exaggeration,History/Mythology
1gzkbbi,google/gemini-3.5-flash,D,D,D,C,correct,Comparison,politics
1h5a44z,google/gemini-3.5-flash,A,A,A,D,correct,Comparison,Pop culture
1h7di4x,google/gemini-3.5-flash,C,C,C,D,correct,Wordplay,Logical
1h8d39n,google/gemini-3.5-flash,A,A,A,D,correct,Comparison,Hobby
1h52vkf,google/gemini-3.5-flash,A,A,A,D,correct,Comparison,General knowledge
1hfggtz,google/gemini-3.5-flash,B,B,B,A,correct,Comparison,Technical
1hmbnol,google/gemini-3.5-flash,D,D,D,B,correct,Comparison,Technical
1hqtnop,google/gemini-3.5-flash,A,A,A,C,correct,Wordplay,politics
1huqauz,google/gemini-3.5-flash,B,B,B,A,correct,Incongruity,Hobby
1i5ve1j,google/gemini-3.5-flash,C,C,C,B,correct,Comparison,History/Mythology
1iad0kh,google/gemini-3.5-flash,B,B,B,D,correct,Exaggeration,Technical
1ibz4bh,google/gemini-3.5-flash,D,D,D,A,correct,Incongruity,Technical
1ig7lnf,google/gemini-3.5-flash,D,D,D,C,correct,Incongruity,meme
1inxmb2,google/gemini-3.5-flash,A,A,A,C,correct,Comparison,meme
1iri57s,google/gemini-3.5-flash,B,B,C,A,other_distractor,Surprise,Social conventions
1iv0i8s,google/gemini-3.5-flash,B,B,B,D,correct,Situational,Logical
1h626bt,google/gemini-3.5-flash,C,C,C,A,correct,Wordplay,Hobby
1hcpvbz,google/gemini-3.5-flash,A,A,A,B,correct,Situational,Pop culture
1izj4eu,google/gemini-3.5-flash,D,D,D,A,correct,Incongruity,politics
1j983b2,google/gemini-3.5-flash,A,A,A,D,correct,Comparison,Social conventions
1jaysny,google/gemini-3.5-flash,D,D,D,A,correct,Incongruity,Hobby
