File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1actpx8,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,C,correct,Sarcasm/Irony,Hobby
1af8odu,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,C,correct,Wordplay,Pop culture
1ajzxfm,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,D,correct,Comparison,Logical
1amtoff,qwen/qwen3-vl-30b-a3b-thinking,D,D,A,C,other_distractor,Incongruity,General knowledge
1aoxsw3,qwen/qwen3-vl-30b-a3b-thinking,C,C,A,D,other_distractor,Comparison,Technical
1asrnb3,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,C,correct,Exaggeration,Pop culture
1aya611,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,D,correct,Sarcasm/Irony,Social conventions
1b03bqv,qwen/qwen3-vl-30b-a3b-thinking,B,B,D,C,other_distractor,Incongruity,politics
1b7unh0,qwen/qwen3-vl-30b-a3b-thinking,A,A,B,D,other_distractor,Comparison,History/Mythology
1be8p2s,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,B,correct,Incongruity,Pop culture
1bikyy1,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,B,correct,Sarcasm/Irony,History/Mythology
1bl3eve,qwen/qwen3-vl-30b-a3b-thinking,A,A,C,A,literal,Incongruity,Hobby
1bmtc5u,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,D,correct,Incongruity,Social conventions
1bsdc0l,qwen/qwen3-vl-30b-a3b-thinking,C,C,A,D,other_distractor,Comparison,History/Mythology
1bw9tb7,qwen/qwen3-vl-30b-a3b-thinking,D,D,C,B,other_distractor,Comparison,General knowledge
1c1tpnf,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,D,correct,Incongruity,meme
1c6zoan,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,B,correct,Sarcasm/Irony,Pop culture
1c22s8b,qwen/qwen3-vl-30b-a3b-thinking,C,C,B,A,other_distractor,Incongruity,Pop culture
1c175gf,qwen/qwen3-vl-30b-a3b-thinking,D,D,B,D,literal,Sarcasm/Irony,politics
1ccfha2,qwen/qwen3-vl-30b-a3b-thinking,D,D,A,B,other_distractor,Sarcasm/Irony,politics
1cehmmt,qwen/qwen3-vl-30b-a3b-thinking,D,D,B,A,other_distractor,Situational,Pop culture
1cgcw31,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,D,correct,Exaggeration,Pop culture
1jfy6ms,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,C,correct,Wordplay,Pop culture
1eae89f,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,B,correct,Exaggeration,Hobby
1iw42ka,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,D,correct,Exaggeration,Pop culture
1k4fjdr,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,D,correct,Wordplay,Logical
1l4mpmj,qwen/qwen3-vl-30b-a3b-thinking,B,B,A,D,other_distractor,Situational,Social conventions
1k0el7w,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,B,correct,Situational,Hobby
15h4szq,qwen/qwen3-vl-30b-a3b-thinking,C,C,D,C,literal,Comparison,History/Mythology
1k70gfk,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,A,correct,Exaggeration,politics
1jaa0tw,qwen/qwen3-vl-30b-a3b-thinking,A,A,B,A,literal,Comparison,History/Mythology
1m0a4hv,qwen/qwen3-vl-30b-a3b-thinking,D,D,C,A,other_distractor,Sarcasm/Irony,History/Mythology
1hvaqk7,qwen/qwen3-vl-30b-a3b-thinking,C,C,D,C,literal,Incongruity,meme
1kw3buz,qwen/qwen3-vl-30b-a3b-thinking,C,C,B,C,literal,Wordplay,Logical
1blxcsy,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,D,correct,Situational,Pop culture
1cskltc,qwen/qwen3-vl-30b-a3b-thinking,B,B,A,D,other_distractor,Wordplay,Pop culture
1kqwlgj,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,C,correct,Exaggeration,Technical
15yqaf6,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,C,correct,Incongruity,Technical
1fycaf4,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,D,correct,Situational,Logical
1cpvjc7,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,A,correct,Sarcasm/Irony,Technical
1bur7j0,qwen/qwen3-vl-30b-a3b-thinking,C,C,B,C,literal,Situational,Pop culture
1co83ht,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,D,correct,Incongruity,Social conventions
1cwrltm,qwen/qwen3-vl-30b-a3b-thinking,B,B,C,D,other_distractor,Dark Humor,Pop culture
1cym2ue,qwen/qwen3-vl-30b-a3b-thinking,D,D,A,C,other_distractor,Exaggeration,Pop culture
1d2jxbw,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,B,correct,Incongruity,General knowledge
1d6ho4f,qwen/qwen3-vl-30b-a3b-thinking,D,D,B,C,other_distractor,Incongruity,General knowledge
1d8sg9b,qwen/qwen3-vl-30b-a3b-thinking,B,B,D,C,other_distractor,Exaggeration,Logical
1d98tf9,qwen/qwen3-vl-30b-a3b-thinking,C,C,D,C,literal,Dark Humor,politics
1dbipgs,qwen/qwen3-vl-30b-a3b-thinking,C,C,D,C,literal,Exaggeration,Logical
1dfrh37,qwen/qwen3-vl-30b-a3b-thinking,C,C,D,B,other_distractor,Incongruity,Hobby
1di1z94,qwen/qwen3-vl-30b-a3b-thinking,D,D,A,C,other_distractor,Exaggeration,Social conventions
1dk6kds,qwen/qwen3-vl-30b-a3b-thinking,C,C,B,D,other_distractor,Dark Humor,Pop culture
1dlzvsx,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,A,correct,Comparison,Logical
1do7yvv,qwen/qwen3-vl-30b-a3b-thinking,B,B,C,D,other_distractor,Incongruity,Logical
1dr9jg6,qwen/qwen3-vl-30b-a3b-thinking,D,D,A,B,other_distractor,Situational,Pop culture
1dtmedg,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,C,correct,Situational,Social conventions
1dwa7tj,qwen/qwen3-vl-30b-a3b-thinking,B,B,D,C,other_distractor,Dark Humor,History/Mythology
1e0k66e,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,C,correct,Wordplay,Technical
1e2qvt9,qwen/qwen3-vl-30b-a3b-thinking,B,B,C,B,literal,Exaggeration,Social conventions
1e6m88u,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,A,correct,Comparison,Pop culture
1ea5yhw,qwen/qwen3-vl-30b-a3b-thinking,A,A,A,D,correct,Exaggeration,politics
1eeayas,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,A,correct,Sarcasm/Irony,History/Mythology
1efs65o,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,D,correct,Comparison,Hobby
1eko6xo,qwen/qwen3-vl-30b-a3b-thinking,D,D,C,B,other_distractor,Comparison,Pop culture
1elhse8,qwen/qwen3-vl-30b-a3b-thinking,A,A,B,D,other_distractor,Exaggeration,Logical
1eq297i,qwen/qwen3-vl-30b-a3b-thinking,D,D,B,C,other_distractor,Exaggeration,politics
1et8l0q,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,B,correct,Incongruity,Logical
1ex1lej,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,C,correct,Exaggeration,General knowledge
1f0qs2a,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,D,correct,Incongruity,General knowledge
1f4tmhz,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,C,correct,Sarcasm/Irony,Logical
1f16w9p,qwen/qwen3-vl-30b-a3b-thinking,D,D,C,D,literal,Situational,General knowledge
1fa202w,qwen/qwen3-vl-30b-a3b-thinking,C,C,C,D,correct,Exaggeration,Hobby
1fbym0h,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,B,correct,Comparison,Social conventions
1fdg0i5,qwen/qwen3-vl-30b-a3b-thinking,D,D,D,A,correct,Dark Humor,politics
1fg38dp,qwen/qwen3-vl-30b-a3b-thinking,B,B,B,A,correct,Exaggeration,Logical
1fm0tjo,qwen/qwen3-vl-30b-a3b-thinking,D,D,C,D,literal,Exaggeration,Logical
1fs6ndo,qwen/qwen3-vl-30b-a3b-thinking,C,C,B,D,other_distractor,Comparison,Hobby
