File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1af8odu,google/gemma-3-4b-it,C,C,A,C,literal,Wordplay,Pop culture
1aoxsw3,google/gemma-3-4b-it,D,D,A,D,literal,Comparison,Technical
1actpx8,google/gemma-3-4b-it,C,C,D,C,literal,Sarcasm/Irony,Hobby
1ajzxfm,google/gemma-3-4b-it,B,B,B,D,correct,Comparison,Logical
1amtoff,google/gemma-3-4b-it,D,D,A,C,other_distractor,Incongruity,General knowledge
1bikyy1,google/gemma-3-4b-it,A,A,A,B,correct,Sarcasm/Irony,History/Mythology
1be8p2s,google/gemma-3-4b-it,C,C,C,B,correct,Incongruity,Pop culture
1b03bqv,google/gemma-3-4b-it,B,B,D,C,other_distractor,Incongruity,politics
1b7unh0,google/gemma-3-4b-it,C,C,B,D,other_distractor,Comparison,History/Mythology
1asrnb3,google/gemma-3-4b-it,B,B,B,C,correct,Exaggeration,Pop culture
1bmtc5u,google/gemma-3-4b-it,C,C,C,D,correct,Incongruity,Social conventions
1bl3eve,google/gemma-3-4b-it,A,A,C,A,literal,Incongruity,Hobby
1aya611,google/gemma-3-4b-it,D,D,C,D,literal,Sarcasm/Irony,Social conventions
1bsdc0l,google/gemma-3-4b-it,D,D,A,D,literal,Comparison,History/Mythology
1c1tpnf,google/gemma-3-4b-it,B,B,B,D,correct,Incongruity,meme
1bw9tb7,google/gemma-3-4b-it,B,B,C,B,literal,Comparison,General knowledge
1c6zoan,google/gemma-3-4b-it,D,D,D,B,correct,Sarcasm/Irony,Pop culture
1c22s8b,google/gemma-3-4b-it,C,C,B,A,other_distractor,Incongruity,Pop culture
1c175gf,google/gemma-3-4b-it,A,A,B,D,other_distractor,Sarcasm/Irony,politics
1cehmmt,google/gemma-3-4b-it,D,D,B,A,other_distractor,Situational,Pop culture
1ccfha2,google/gemma-3-4b-it,B,B,A,B,literal,Sarcasm/Irony,politics
1jfy6ms,google/gemma-3-4b-it,D,D,A,C,other_distractor,Wordplay,Pop culture
1eae89f,google/gemma-3-4b-it,D,D,D,B,correct,Exaggeration,Hobby
1cgcw31,google/gemma-3-4b-it,D,D,B,D,literal,Exaggeration,Pop culture
1k4fjdr,google/gemma-3-4b-it,A,A,A,D,correct,Wordplay,Logical
1iw42ka,google/gemma-3-4b-it,D,D,C,D,literal,Exaggeration,Pop culture
15h4szq,google/gemma-3-4b-it,C,C,D,C,literal,Comparison,History/Mythology
1l4mpmj,google/gemma-3-4b-it,D,D,A,D,literal,Situational,Social conventions
1k0el7w,google/gemma-3-4b-it,B,B,C,B,literal,Situational,Hobby
1k70gfk,google/gemma-3-4b-it,A,A,D,A,literal,Exaggeration,politics
1jaa0tw,google/gemma-3-4b-it,A,A,B,A,literal,Comparison,History/Mythology
1m0a4hv,google/gemma-3-4b-it,C,C,C,A,correct,Sarcasm/Irony,History/Mythology
1cskltc,google/gemma-3-4b-it,D,D,A,D,literal,Wordplay,Pop culture
1hvaqk7,google/gemma-3-4b-it,C,C,D,C,literal,Incongruity,meme
1blxcsy,google/gemma-3-4b-it,C,C,C,D,correct,Situational,Pop culture
15yqaf6,google/gemma-3-4b-it,A,A,A,C,correct,Incongruity,Technical
1fycaf4,google/gemma-3-4b-it,B,B,B,D,correct,Situational,Logical
1kqwlgj,google/gemma-3-4b-it,A,A,A,C,correct,Exaggeration,Technical
1kw3buz,google/gemma-3-4b-it,C,C,B,C,literal,Wordplay,Logical
1bur7j0,google/gemma-3-4b-it,C,C,B,C,literal,Situational,Pop culture
1co83ht,google/gemma-3-4b-it,B,B,C,D,other_distractor,Incongruity,Social conventions
1cpvjc7,google/gemma-3-4b-it,C,C,C,A,correct,Sarcasm/Irony,Technical
1cym2ue,google/gemma-3-4b-it,B,B,A,C,other_distractor,Exaggeration,Pop culture
1cwrltm,google/gemma-3-4b-it,D,D,C,D,literal,Dark Humor,Pop culture
1d6ho4f,google/gemma-3-4b-it,D,D,B,C,other_distractor,Incongruity,General knowledge
1d2jxbw,google/gemma-3-4b-it,A,A,C,B,other_distractor,Incongruity,General knowledge
1d8sg9b,google/gemma-3-4b-it,B,B,D,C,other_distractor,Exaggeration,Logical
1dbipgs,google/gemma-3-4b-it,C,C,D,C,literal,Exaggeration,Logical
1d98tf9,google/gemma-3-4b-it,D,D,D,C,correct,Dark Humor,politics
1dfrh37,google/gemma-3-4b-it,B,B,D,B,literal,Incongruity,Hobby
1di1z94,google/gemma-3-4b-it,D,D,A,C,other_distractor,Exaggeration,Social conventions
1dr9jg6,google/gemma-3-4b-it,D,D,A,B,other_distractor,Situational,Pop culture
1dlzvsx,google/gemma-3-4b-it,A,A,D,A,literal,Comparison,Logical
1do7yvv,google/gemma-3-4b-it,B,B,C,D,other_distractor,Incongruity,Logical
1dtmedg,google/gemma-3-4b-it,D,D,A,C,other_distractor,Situational,Social conventions
1dwa7tj,google/gemma-3-4b-it,B,B,D,C,other_distractor,Dark Humor,History/Mythology
1dk6kds,google/gemma-3-4b-it,D,D,B,D,literal,Dark Humor,Pop culture
1e2qvt9,google/gemma-3-4b-it,B,B,C,B,literal,Exaggeration,Social conventions
1e0k66e,google/gemma-3-4b-it,B,B,B,C,correct,Wordplay,Technical
1e6m88u,google/gemma-3-4b-it,B,B,B,A,correct,Comparison,Pop culture
1ea5yhw,google/gemma-3-4b-it,A,A,A,D,correct,Exaggeration,politics
1efs65o,google/gemma-3-4b-it,D,D,B,D,literal,Comparison,Hobby
1eeayas,google/gemma-3-4b-it,B,B,B,A,correct,Sarcasm/Irony,History/Mythology
1elhse8,google/gemma-3-4b-it,A,A,B,D,other_distractor,Exaggeration,Logical
1eq297i,google/gemma-3-4b-it,C,C,B,C,literal,Exaggeration,politics
1eko6xo,google/gemma-3-4b-it,D,D,C,B,other_distractor,Comparison,Pop culture
1et8l0q,google/gemma-3-4b-it,B,B,C,B,literal,Incongruity,Logical
1ex1lej,google/gemma-3-4b-it,C,C,D,C,literal,Exaggeration,General knowledge
1f0qs2a,google/gemma-3-4b-it,B,B,B,D,correct,Incongruity,General knowledge
1fdg0i5,google/gemma-3-4b-it,D,D,D,A,correct,Dark Humor,politics
1fa202w,google/gemma-3-4b-it,D,D,C,D,literal,Exaggeration,Hobby
1f4tmhz,google/gemma-3-4b-it,D,D,D,C,correct,Sarcasm/Irony,Logical
1fbym0h,google/gemma-3-4b-it,B,B,D,B,literal,Comparison,Social conventions
1f16w9p,google/gemma-3-4b-it,D,D,C,D,literal,Situational,General knowledge
1fg38dp,google/gemma-3-4b-it,A,A,B,A,literal,Exaggeration,Logical
1fs6ndo,google/gemma-3-4b-it,D,D,B,D,literal,Comparison,Hobby
1fm0tjo,google/gemma-3-4b-it,D,D,C,D,literal,Exaggeration,Logical
1fo91u1,google/gemma-3-4b-it,B,B,D,B,literal,Situational,Logical
1fu3pp1,google/gemma-3-4b-it,A,A,C,B,other_distractor,Incongruity,Technical
1fst6nb,google/gemma-3-4b-it,B,B,B,C,correct,Comparison,politics
1fuxrbx,google/gemma-3-4b-it,A,A,A,C,correct,Wordplay,Hobby
1fwbzz9,google/gemma-3-4b-it,A,A,A,C,correct,Situational,politics
1fxqzyt,google/gemma-3-4b-it,B,B,B,D,correct,Wordplay,Social conventions
1g02nzf,google/gemma-3-4b-it,D,D,D,B,correct,Situational,History/Mythology
1g7yhzc,google/gemma-3-4b-it,A,A,A,C,correct,Exaggeration,Social conventions
1gidb47,google/gemma-3-4b-it,C,C,B,D,other_distractor,Situational,Technical
1g4657e,google/gemma-3-4b-it,C,C,B,C,literal,Incongruity,History/Mythology
1gazv8u,google/gemma-3-4b-it,A,A,B,D,other_distractor,Dark Humor,politics
1gqh1c5,google/gemma-3-4b-it,D,D,D,C,correct,Situational,Social conventions
1gop1dk,google/gemma-3-4b-it,B,B,D,B,literal,Exaggeration,Social conventions
1gs87cm,google/gemma-3-4b-it,D,D,C,D,literal,Situational,Pop culture
1guacve,google/gemma-3-4b-it,B,B,A,B,literal,Exaggeration,Social conventions
1gz2i0o,google/gemma-3-4b-it,D,D,C,D,literal,Exaggeration,History/Mythology
1h5a44z,google/gemma-3-4b-it,D,D,A,D,literal,Comparison,Pop culture
1gzkbbi,google/gemma-3-4b-it,C,C,D,C,literal,Comparison,politics
